ID,name,lat,long
205,Berenbrock (Lkr. Börde),52.4200000, 11.3070000
206,Bülstringen (Lkr. Börde),52.3167000, 11.3500000
207,Hillersleben (Lkr. Börde),52.2824700, 11.4783500
208,Hundisburg (Lkr. Börde),52.2466200, 11.3995200
209,Ostingersleben (Lkr. Börde),52.2110000, 11.1700000
210,Schackensleben (Lkr. Börde),52.1957200, 11.4194300
211,Uthmöden (Lkr. Börde),52.3540100, 11.3554000
212,Wegenstedt (Lkr. Börde),52.3867400, 11.1999800
213,Bebertal (Lkr. Börde),52.2394400, 11.3348400
214,Nitzow (Lkr. Stendal),52.8740500, 12.0533500
215,Beetzendorf (Lkr. Altmarkkreis Salzwedel),52.7000000, 11.1000000
216,Ausleben (Lkr. Börde),52.0830000, 11.1170000
217,Badeleben (Lkr. Börde),52.1460000, 11.1250000
218,Gröningen (Lkr. Börde),51.9333000, 11.2167000
219,Dewitz (Lkr. Stendal),52.8383700, 11.6143700
221,Gethlingen (Lkr. Stendal),52.7543700, 11.8959600
222,Klein Schwechten (Lkr. Stendal),52.7070500, 11.7450300
223,Osterburg (Altmark) (Lkr. Stendal),52.7833000, 11.7667000
224,Walsleben (Lkr. Stendal),52.7561600, 11.8561700
225,Bombeck (Altmarkkreis Salzwedel),52.8397300, 11.0227500
226,Salzwedel (Altmarkkreis Salzwedel),52.8540000, 11.1530000
227,"Seeben (Halle, Stadtbezirk Nord)",51.5308600, 11.9750400
228,Velgau (Lkr. Osterburg),52.8000000, 11.4000000
229,Biere (Salzlandkreis),51.9743100, 11.6544300
230,Hecklingen (Salzlandkreis),51.8500000, 11.5333000
231,Westeregeln (Salzlandkreis),51.9632800, 11.3926500
232,Arneburg (Lkr. Stendal),52.6667000, 12.0000000
233,Eichstedt (Altmark) (Lkr. Eichstedt),52.6833000, 11.8500000
234,Groß Schwechten (Stadt Stendal),52.6069000, 11.8586700
235,Hämerten (Lkr. Stendal),52.5905400, 11.9871100
236,Hassel (Lkr. Stendal),52.6395200, 11.9263500
