,find_number,Name,type_find,lat,long,num_coins,year_found,year_found_end,comments,imported,references,owner,created,hoard?,single?,excavation?,cf_custom_region_vague
37,2400,Eckolstädt,Single Find,51.036,11.641,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=2400 || http://afe.dainst.org/detailedresult?l=en&link=11448,DAI,06-12-2023,False,True,False,2
38,2403,Reisdorf,Single Find,51.102,11.559,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=2403 || http://afe.dainst.org/detailedresult?l=en&link=11457,DAI,06-12-2023,False,False,False,2
39,2405,Arnstadt (Fundgattung unsicher),Hoard Find,50.84,10.952,4,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=2405 || http://afe.dainst.org/detailedresult?l=en&link=11462 || http://afe.dainst.org/detailedresult?l=en&link=11463 || http://afe.dainst.org/detailedresult?l=en&link=11464 || http://afe.dainst.org/detailedresult?l=en&link=11465,DAI,06-12-2023,False,False,False,2
40,2485,Luckenwalde II (Kollektivfund?),Single Find,52.09,13.168,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=2485 || http://afe.dainst.org/detailedresult?l=en&link=9815,DAI,06-12-2023,False,False,False,2
41,3050,Gorsleben,Single Find,51.267,11.183,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3050 || http://afe.dainst.org/detailedresult?l=en&link=11493,DAI,06-12-2023,False,True,False,2
42,3051,Gorsleben (unsichere Angaben),Single Find,51.267,11.183,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3051 || http://afe.dainst.org/detailedresult?l=en&link=11499,DAI,06-12-2023,False,True,False,2
43,3054,Heldrungen,Single Find,51.302,11.218,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3054 || http://afe.dainst.org/detailedresult?l=en&link=11504,DAI,06-12-2023,False,False,True,2
44,3055,Oberheldrungen,Single Find,51.283,11.25,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3055 || http://afe.dainst.org/detailedresult?l=en&link=11505 || http://afe.dainst.org/detailedresult?l=en&link=11506,DAI,06-12-2023,False,False,False,2
45,3055,Oberheldrungen,Single Find,51.283,11.25,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3055 || http://afe.dainst.org/detailedresult?l=en&link=11505 || http://afe.dainst.org/detailedresult?l=en&link=11506,DAI,06-12-2023,False,False,False,2
46,3066,Vieselbach,Single Find,50.999,11.145,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3066 || http://afe.dainst.org/detailedresult?l=en&link=11551,DAI,06-12-2023,False,False,False,2
47,3074,Umgebung von Gotha,Single Find,50.948,10.702,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3074 || http://afe.dainst.org/detailedresult?l=en&link=11568,DAI,06-12-2023,False,True,False,2
48,3080,Mühlberg (Fp. 14),Single Find,50.868,10.823,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3080 || http://afe.dainst.org/detailedresult?l=en&link=11595,DAI,06-12-2023,False,False,False,2
49,3085,Seebergen,Single Find,50.921,10.799,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3085 || http://afe.dainst.org/detailedresult?l=en&link=11606,DAI,06-12-2023,False,False,False,2
50,3086,Sonneborn,Hoard Find,51.0,10.583,2,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3086 || http://afe.dainst.org/detailedresult?l=en&link=11615 || http://afe.dainst.org/detailedresult?l=en&link=11616,DAI,06-12-2023,False,False,False,2
51,3090,Wandersleben,Single Find,50.899,10.85,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3090 || http://afe.dainst.org/detailedresult?l=en&link=11635,DAI,06-12-2023,False,False,False,2
52,3103,Neunheilingen,Single Find,51.2,10.667,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3103 || http://afe.dainst.org/detailedresult?l=en&link=11664,DAI,06-12-2023,False,False,False,2
53,3109,Grossengottern,Single Find,51.15,10.583,1,1700,2023,,06-12-2023,http://afe.dainst.org/findspot?afeid=3109 || http://afe.dainst.org/detailedresult?l=en&link=11679 || http://afe.dainst.org/detailedresult?l=en&link=11699,DAI,06-12-2023,False,False,False,2
