ID,Name,Fundkategorie,Link
161,"Echzell, südl. Eisteich",,iDAI gazetteer
162,"Echzell, Kastell",,iDAI gazetteer
163,"Echzell, nördl. Im Beundegrund",,iDAI gazetteer
164,"Florstadt, westl. Kastell",,iDAI gazetteer
165,"Rottweil, Mahle 1985-87",,iDAI gazetteer
166,"Rottweil, Flavierstr. 13",,iDAI gazetteer
167,"Rottweil, Römerstr. 60",,iDAI gazetteer
168,"Bad Nauheim, Goldstein",,iDAI gazetteer
169,Friedberg 2012,,iDAI gazetteer
170,"Okarben, Bornweg 9",,iDAI gazetteer
171,Dauernheim-Hohe Berg,,iDAI gazetteer
172,Wallerstädten-Kleine Mut,,iDAI gazetteer
173,"Groß-Rohrheim ""Haaräcker""",,iDAI gazetteer
174,"Bad Friedrichshall-Duttenberg ""Kapellesäcker""",,iDAI gazetteer
175,"""Mäurich""",,iDAI gazetteer
176,Kassel Wolfsanger,Einzelfund,iDAI gazetteer
177,Vockerode,Einzelfund,iDAI gazetteer
178,Berghofen,Einzelfund,iDAI gazetteer
179,Schreufa,Einzelfund,iDAI gazetteer
180,Limburg-Eschhofen A3,,iDAI gazetteer
181,JustaTest,,iDAI gazetteer
182,Kleinglattbach Süd II,,iDAI gazetteer
183,Öhringen-Schmale Straße,,iDAI gazetteer
184,Niederdorfelden,Einzelfund,iDAI gazetteer
,,,
186,An der Römerbrücke 1,,iDAI gazetteer
187,"""Neben der Herrnwiese""",,iDAI gazetteer
188,Gernsheim,,iDAI gazetteer
189,Am Hochstiegel,,iDAI gazetteer
190,Steinmauer,,iDAI gazetteer
191,Die Grenzwiesen,,iDAI gazetteer
192,Dornheim,,iDAI gazetteer
193,Bachwiesen,,iDAI gazetteer
194,Katzenloch,,iDAI gazetteer
195,Herrnwiese,,iDAI gazetteer
196,Hinter der Steinmauer,,iDAI gazetteer
197,Schifflache,Einzelfund,iDAI gazetteer
198,Weidwiese,,iDAI gazetteer
,,,
200,Burggewann,,iDAI gazetteer
201,Schmalstede II (Brandgrab 136),Grabfund,iDAI gazetteer
202,Lengerich III (Hortfund),Schatzfund,iDAI gazetteer
203,Laatzen (Hortfund),Schatzfund,iDAI gazetteer
204,Altenwalde (Gräberfeld),Grabfund,iDAI gazetteer
205,Perlberg,,iDAI gazetteer
206,Mahndorf,,iDAI gazetteer
207,Wulsdorf,,iDAI gazetteer
208,Dargardt,Einzelfund,iDAI gazetteer
209,Biesenbrow II (Hortfund),Schatzfund,iDAI gazetteer
210,Müllrose,Einzelfund,iDAI gazetteer
211,Blankenburg (Gewässerfund),Einzelfund,iDAI gazetteer
212,Divitz,Einzelfund,iDAI gazetteer
