ID,Name,Fundkategorie,Link
626,Leitzkau,Einzelfund,iDAI gazetteer
627,Lindau,Einzelfund,iDAI gazetteer
628,Lindtorf,Einzelfund,iDAI gazetteer
629,Lödderitz,Einzelfund,iDAI gazetteer
630,Lotsche,Einzelfund,iDAI gazetteer
631,Lübars,Einzelfund,iDAI gazetteer
632,Neuwegersleben,Einzelfund,iDAI gazetteer
633,Osterwieck,Grabfund,iDAI gazetteer
634,Püggen,Grabfund,iDAI gazetteer
635,Rochau,Einzelfund,iDAI gazetteer
636,Rockenthin,Einzelfund,iDAI gazetteer
637,Rohrberg,Einzelfund,iDAI gazetteer
638,Schäplitz,Grabfund,iDAI gazetteer
639,Schneidlingen,Einzelfund,iDAI gazetteer
640,Schollene,Einzelfund,iDAI gazetteer
641,Staßfurt,Einzelfund,iDAI gazetteer
642,Staßfurt (Umgebung),Einzelfund,iDAI gazetteer
643,Stemmern,Einzelfund,iDAI gazetteer
644,Wefensleben II,Einzelfund,iDAI gazetteer
645,Wulferstedt,Einzelfund,iDAI gazetteer
646,Zerbst,Einzelfund,iDAI gazetteer
647,Osdorf,Einzelfund,iDAI gazetteer
648,Schöbendorf,Einzelfund,iDAI gazetteer
649,Wünsdorf,Unbekannt,iDAI gazetteer
650,Zossen,Einzelfund,iDAI gazetteer
651,Brandenburg an der Havel,Einzelfund,iDAI gazetteer
652,Potsdam (Grabfund),Grabfund,iDAI gazetteer
653,Brandenburg und Prignitz,Einzelfund,iDAI gazetteer
654,"""Prignitz""",Einzelfund,iDAI gazetteer
655,Angermünde I,Einzelfund,iDAI gazetteer
656,Angermünde II,Einzelfund,iDAI gazetteer
657,Angermünde III,Einzelfund,iDAI gazetteer
658,Angermünde IV,Einzelfund,iDAI gazetteer
659,Briest,Einzelfund,iDAI gazetteer
660,Damitzow,Einzelfund,iDAI gazetteer
661,Herzsprung,Einzelfund,iDAI gazetteer
662,Niederlandin,Einzelfund,iDAI gazetteer
663,Pinnow,Einzelfund,iDAI gazetteer
664,Schmargendorf,Einzelfund,iDAI gazetteer
665,Schönermark,Einzelfund,iDAI gazetteer
666,Wartin,Einzelfund,iDAI gazetteer
667,Bad Freienwalde,Einzelfund,iDAI gazetteer
668,Beeskow,Einzelfund,iDAI gazetteer
669,Lieberose I,Einzelfund,iDAI gazetteer
670,Lieberose II (Gewässerfund),Einzelfund,iDAI gazetteer
671,Reudnitz (Sekundäre Fundlage),Unbekannt,iDAI gazetteer
672,Schönerlinde,Unbekannt,iDAI gazetteer
673,Lunow,Einzelfund,iDAI gazetteer
674,Eberswalde,Einzelfund,iDAI gazetteer
675,Neuzelle I (Moorfund),Einzelfund,iDAI gazetteer
676,Neuzelle II,Einzelfund,iDAI gazetteer
677,Wellmitz,Einzelfund,iDAI gazetteer
678,Behlendorf,Einzelfund,iDAI gazetteer
679,Ketschendorf,Einzelfund,iDAI gazetteer
680,Petersdorf,Einzelfund,iDAI gazetteer
681,Wilhelmsaue,Grabfund,iDAI gazetteer
682,Prenzlau,Einzelfund,iDAI gazetteer
683,Warbende,Einzelfund,iDAI gazetteer
684,Golzow,Einzelfund,iDAI gazetteer
685,Lebus I (Kollektivfund?),Kollektivfund,iDAI gazetteer
686,Lebus II,Unbekannt,iDAI gazetteer
687,Ortwig,Einzelfund,iDAI gazetteer
688,Platkow,Einzelfund,iDAI gazetteer
689,Podelzig,Einzelfund,iDAI gazetteer
690,Reitwein,Einzelfund,iDAI gazetteer
691,Seelow,Einzelfund,iDAI gazetteer
692,Buckow,Einzelfund,iDAI gazetteer
693,Eggersdorf,Einzelfund,iDAI gazetteer
694,Müncheberg,Einzelfund,iDAI gazetteer
695,Prädikow,Grabfund,iDAI gazetteer
696,Strausberg,Einzelfund,iDAI gazetteer
697,Alt Temmen,Einzelfund,iDAI gazetteer
698,Flieth,Einzelfund,iDAI gazetteer
699,Lychen,Einzelfund,iDAI gazetteer
700,Suckow,Einzelfund,iDAI gazetteer
701,Booßen (suspekt),Einzelfund,iDAI gazetteer
702,Frankfurt (Oder) I,Einzelfund,iDAI gazetteer
703,Frankfurt (Oder) II,Einzelfund,iDAI gazetteer
704,"Bezirk Frankfurt (Oder), ""Oderbruch""",Unbekannt,iDAI gazetteer
705,Schwedt (Oder),Einzelfund,iDAI gazetteer
706,Krauschütz,Einzelfund,iDAI gazetteer
707,Lausitz (Hortfund),Schatzfund,iDAI gazetteer
708,Elsterwerda (Umgebung),Einzelfund,iDAI gazetteer
709,Altdöbern,Einzelfund,iDAI gazetteer
710,Buchholz,Einzelfund,iDAI gazetteer
711,Groß Jauer,Einzelfund,iDAI gazetteer
712,Groß Lübbenau,Grabfund,iDAI gazetteer
713,Werchow,Kollektivfund,iDAI gazetteer
714,Frauendorf,Einzelfund,iDAI gazetteer
715,Kahren,Einzelfund,iDAI gazetteer
716,Kolkwitz,Einzelfund,iDAI gazetteer
717,Krieschow-Wiesendorf,Einzelfund,iDAI gazetteer
718,Müschen,Einzelfund,iDAI gazetteer
719,Cottbus (Umgebung),Einzelfund,iDAI gazetteer
720,Doberlug,Unbekannt,iDAI gazetteer
721,Finsterwalde (Hortfund),Schatzfund,iDAI gazetteer
722,Groß Briesnig,Einzelfund,iDAI gazetteer
723,Deulowitz,Einzelfund,iDAI gazetteer
724,Groß Drewitz,Einzelfund,iDAI gazetteer
725,Guben,Einzelfund,iDAI gazetteer
726,Hohenbucko,Einzelfund,iDAI gazetteer
727,Schlieben (Hortfund),Schatzfund,iDAI gazetteer
728,Dahme,Einzelfund,iDAI gazetteer
729,Gehren,Einzelfund,iDAI gazetteer
730,Gießmannsdorf (Hortfund),Schatzfund,iDAI gazetteer
731,Liedekahle,Einzelfund,iDAI gazetteer
732,Luckau,Kollektivfund,iDAI gazetteer
733,Sagritz,Einzelfund,iDAI gazetteer
734,Byhleguhre,Einzelfund,iDAI gazetteer
735,Lübben (oder Umgebung),Einzelfund,iDAI gazetteer
736,Neuzauche,Einzelfund,iDAI gazetteer
737,Dörrwalde,Weihefund,iDAI gazetteer
738,Lindenau I,Einzelfund,iDAI gazetteer
739,Lindenau II,Einzelfund,iDAI gazetteer
740,Cottbus I (Hortfund?),Schatzfund,iDAI gazetteer
741,Cottbus II,Einzelfund,iDAI gazetteer
742,Berlin-Lützow (Grabfund),Grabfund,iDAI gazetteer
743,Berlin-Kaulsdorf,Einzelfund,iDAI gazetteer
744,Berlin-Spindlersfeld,Einzelfund,iDAI gazetteer
745,Berlin-Friedrichshagen,Einzelfund,iDAI gazetteer
746,Berlin-Kreuzberg,Einzelfund,iDAI gazetteer
747,Berlin-Friedrichsfelde (suspekt),Kollektivfund,iDAI gazetteer
748,Berlin-Lichtenberg,Einzelfund,iDAI gazetteer
749,Berlin-Mahlsdorf,Einzelfund,iDAI gazetteer
750,Berlin-Mitte I,Einzelfund,iDAI gazetteer
751,Berlin-Mitte II,Einzelfund,iDAI gazetteer
752,Berlin-Mitte III,Einzelfund,iDAI gazetteer
753,Berlin-Mitte IV,Einzelfund,iDAI gazetteer
754,Berlin-Mitte V,Einzelfund,iDAI gazetteer
755,Berlin-Mitte VI,Einzelfund,iDAI gazetteer
756,Berlin-Britz I,Einzelfund,iDAI gazetteer
757,Berlin-Britz II,Einzelfund,iDAI gazetteer
758,Berlin-Rixdorf,Einzelfund,iDAI gazetteer
759,Berlin-Blankenfelde,Einzelfund,iDAI gazetteer
760,Berlin-Niederschönhausen,Unbekannt,iDAI gazetteer
761,Berlin-Hermsdorf,Einzelfund,iDAI gazetteer
762,Berlin-Lübars,Einzelfund,iDAI gazetteer
763,Berlin-Pichelsdorf,Einzelfund,iDAI gazetteer
764,Berlin-Spandau,Einzelfund,iDAI gazetteer
765,Berlin-Lichterfelde I (Hortfund?),Kollektivfund,iDAI gazetteer
766,Berlin-Lichterfelde II,Grabfund,iDAI gazetteer
767,Berlin-Lichterfelde III,Einzelfund,iDAI gazetteer
768,Berlin-Lichterfelde IV,Kollektivfund,iDAI gazetteer
769,Berlin-Tempelhof,Einzelfund,iDAI gazetteer
770,Berlin-Tiergarten,Unbekannt,iDAI gazetteer
771,Berlin-Wedding,Einzelfund,iDAI gazetteer
772,Berlin-Malchow,Einzelfund,iDAI gazetteer
773,Berlin-Wannsee,Einzelfund,iDAI gazetteer
774,Berlin-Zehlendorf I,Einzelfund,iDAI gazetteer
775,Althof I,Einzelfund,iDAI gazetteer
776,Althof II,Einzelfund,iDAI gazetteer
777,Blengow,Einzelfund,iDAI gazetteer
778,Hanshagen (Hortfund?),Schatzfund,iDAI gazetteer
779,Stilow,Einzelfund,iDAI gazetteer
780,Weitenhagen,Einzelfund,iDAI gazetteer
781,Bössow,Einzelfund,iDAI gazetteer
782,Wahrsow,Einzelfund,iDAI gazetteer
783,Wotenitz I,Grabfund,iDAI gazetteer
784,Zarrendorf,Einzelfund,iDAI gazetteer
785,Barth,Einzelfund,iDAI gazetteer
786,Kloster,Einzelfund,iDAI gazetteer
787,Kluptow,Einzelfund,iDAI gazetteer
788,Kniepow,Einzelfund,iDAI gazetteer
789,"""auf Rügen"" (Lkr. Vorpommern-Rügen)",Einzelfund,iDAI gazetteer
790,Muuks,Einzelfund,iDAI gazetteer
791,Farpen,Einzelfund,iDAI gazetteer
792,Hornstorf,Einzelfund,iDAI gazetteer
793,Gothen,Einzelfund,iDAI gazetteer
794,Hohendorf (Hortfund),Schatzfund,iDAI gazetteer
795,Kröslin,Einzelfund,iDAI gazetteer
796,Lassan,Einzelfund,iDAI gazetteer
797,Rankwitz,Einzelfund,iDAI gazetteer
798,Voßberg,Schatzfund,iDAI gazetteer
799,Warnemünde (suspekt),Einzelfund,iDAI gazetteer
800,Stralsund I,Einzelfund,iDAI gazetteer
801,Stralsund II,Einzelfund,iDAI gazetteer
802,Stralsund III,Einzelfund,iDAI gazetteer
803,Stralsund IV,Einzelfund,iDAI gazetteer
804,Gadebusch,Einzelfund,iDAI gazetteer
805,Rehna,Einzelfund,iDAI gazetteer
806,Roggendorf,Einzelfund,iDAI gazetteer
807,Vietlübbe,Einzelfund,iDAI gazetteer
808,Lübtheen (Umgebung) I,Einzelfund,iDAI gazetteer
809,Lübtheen II,Kollektivfund,iDAI gazetteer
810,Wittenburg,Einzelfund,iDAI gazetteer
811,Bresegard,Einzelfund,iDAI gazetteer
812,Kremmin,Einzelfund,iDAI gazetteer
813,Lanz,Einzelfund,iDAI gazetteer
814,Ludwigslust (Lkr. Ludwigslust),Einzelfund,iDAI gazetteer
815,Hof Hagen,Einzelfund,iDAI gazetteer
816,Penzlin,Einzelfund,iDAI gazetteer
817,Herzfeld,Unbekannt,iDAI gazetteer
818,Slate,Unbekannt,iDAI gazetteer
819,Hof Wandrum,Einzelfund,iDAI gazetteer
820,Plate,Einzelfund,iDAI gazetteer
821,Brüel,Einzelfund,iDAI gazetteer
822,Dannhusen,Einzelfund,iDAI gazetteer
823,Friedrichswalde,Einzelfund,iDAI gazetteer
824,Schwerin I,Einzelfund,iDAI gazetteer
825,Schwerin II,Unbekannt,iDAI gazetteer
826,"""Mecklenburg""",Einzelfund,iDAI gazetteer
827,Altentreptow,Einzelfund,iDAI gazetteer
828,Anklam (Lkr. Vorpommern-Greifswald),Grabfund,iDAI gazetteer
829,Görke,Einzelfund,iDAI gazetteer
830,Putzar,Einzelfund,iDAI gazetteer
831,Demmin,Einzelfund,iDAI gazetteer
832,Rustow,Einzelfund,iDAI gazetteer
833,Stavenhagen I,Einzelfund,iDAI gazetteer
834,Stavenhagen II,Einzelfund,iDAI gazetteer
835,Genzkow,Einzelfund,iDAI gazetteer
836,Lübbersdorf,Kollektivfund,iDAI gazetteer
837,Sadelkow,Einzelfund,iDAI gazetteer
838,Teschendorf,Einzelfund,iDAI gazetteer
839,Hartwigshof,Einzelfund,iDAI gazetteer
840,Neu Gaarz,Einzelfund,iDAI gazetteer
841,Quadenschönfeld,Unbekannt,iDAI gazetteer
842,Schwarzenhof (Forst) Fpl. unbek.,Einzelfund,iDAI gazetteer
843,Starsow,Einzelfund,iDAI gazetteer
844,Userin,Einzelfund,iDAI gazetteer
845,Damm,Einzelfund,iDAI gazetteer
846,Grünz,Einzelfund,iDAI gazetteer
847,Viereck,Einzelfund,iDAI gazetteer
848,Löcknitz I,Einzelfund,iDAI gazetteer
849,Löcknitz II,Einzelfund,iDAI gazetteer
850,Pasewalk I,Einzelfund,iDAI gazetteer
851,Pasewalk III,Grabfund,iDAI gazetteer
852,Penkun,Einzelfund,iDAI gazetteer
853,Schwennenz,Einzelfund,iDAI gazetteer
854,Röbel,Einzelfund,iDAI gazetteer
855,Grauenhagen,Einzelfund,iDAI gazetteer
856,Teterow I (Siedlungsfund),Einzelfund,iDAI gazetteer
857,Teterow II,Einzelfund,iDAI gazetteer
858,Teterow III (Sekundärfund),Einzelfund,iDAI gazetteer
859,Groß Varchow,Unbekannt,iDAI gazetteer
860,"""Müritzgebiet"" - Fundort unbekannt",Einzelfund,iDAI gazetteer
861,Penzlin,Einzelfund,iDAI gazetteer
862,Neubrandenburg I,Einzelfund,iDAI gazetteer
863,Neubrandenburg II (suspekt),Unbekannt,iDAI gazetteer
864,Neubrandenburg III,Einzelfund,iDAI gazetteer
865,Auritz,Einzelfund,iDAI gazetteer
866,Bautzen I,Einzelfund,iDAI gazetteer
867,Bautzen II,Einzelfund,iDAI gazetteer
868,Bautzen III,Einzelfund,iDAI gazetteer
869,Bautzen IV,Einzelfund,iDAI gazetteer
870,Bautzen V (Hortfund?),Schatzfund,iDAI gazetteer
871,Breitendorf,Einzelfund,iDAI gazetteer
872,Burk I,Einzelfund,iDAI gazetteer
873,Burk II,Kollektivfund,iDAI gazetteer
874,Gleina (suspekt),Unbekannt,iDAI gazetteer
875,Guttau,Einzelfund,iDAI gazetteer
876,Holscha (suspekt),Unbekannt,iDAI gazetteer
,,,
878,Kleinsaubernitz,Einzelfund,iDAI gazetteer
879,Königswartha,Einzelfund,iDAI gazetteer
880,Nadelwitz (suspekt),Unbekannt,iDAI gazetteer
881,Preititz,Einzelfund,iDAI gazetteer
882,Preuschwitz,Einzelfund,iDAI gazetteer
883,Bautzen VI (Umgebung),Einzelfund,iDAI gazetteer
884,Radeberg (suspekt),Unbekannt,iDAI gazetteer
885,Radebeul,Einzelfund,iDAI gazetteer
886,Radeburg,Unbekannt,iDAI gazetteer
887,Steinbach,Einzelfund,iDAI gazetteer
888,Großopitz,Einzelfund,iDAI gazetteer
889,Tharandt,Einzelfund,iDAI gazetteer
890,Wurgwitz,Einzelfund,iDAI gazetteer
891,Berzdorf,Einzelfund,iDAI gazetteer
892,Königshain,Einzelfund,iDAI gazetteer
893,Mengelsdorf,Einzelfund,iDAI gazetteer
894,Ober Neundorf,Einzelfund,iDAI gazetteer
,,,
896,Großenhain,Einzelfund,iDAI gazetteer
,,,
898,Kottewitz,Einzelfund,iDAI gazetteer
899,Nauleis,Einzelfund,iDAI gazetteer
900,Piskowitz,Einzelfund,iDAI gazetteer
901,Skäßchen,Einzelfund,iDAI gazetteer
902,Zabeltitz,Einzelfund,iDAI gazetteer
903,Hoyerswerda,Einzelfund,iDAI gazetteer
904,Knappenrode,Einzelfund,iDAI gazetteer
905,Tätzschwitz,Einzelfund,iDAI gazetteer
906,Schwepnitz (Schatzfund),Schatzfund,iDAI gazetteer
907,Bernstadt,Einzelfund,iDAI gazetteer
908,Bischdorf,Einzelfund,iDAI gazetteer
909,Herwigsdorf,Einzelfund,iDAI gazetteer
910,Lawalde,Einzelfund,iDAI gazetteer
911,Löbau I,Einzelfund,iDAI gazetteer
912,Löbau II,Einzelfund,iDAI gazetteer
913,Lommatzsch I,Einzelfund,iDAI gazetteer
914,Lommatzsch II,Einzelfund,iDAI gazetteer
915,Sörnewitz (Hortfund?),Schatzfund,iDAI gazetteer
916,Attendorf-Seifersdorf,Einzelfund,iDAI gazetteer
917,Diehsa I,Einzelfund,iDAI gazetteer
918,Diehsa II,Einzelfund,iDAI gazetteer
919,Torga,Einzelfund,iDAI gazetteer
920,Pirna,Einzelfund,iDAI gazetteer
921,Stauchitz I,Einzelfund,iDAI gazetteer
922,Stauchitz II,Einzelfund,iDAI gazetteer
923,Stösitz (Grabfund),Grabfund,iDAI gazetteer
924,Zeithain,Grabfund,iDAI gazetteer
925,Hartau,Einzelfund,iDAI gazetteer
926,Oybin,Einzelfund,iDAI gazetteer
927,Zittau I,Einzelfund,iDAI gazetteer
928,Zittau II,Unbekannt,iDAI gazetteer
929,"""Dresden""",Einzelfund,iDAI gazetteer
930,Dresden-Coschütz I,Einzelfund,iDAI gazetteer
931,Dresden-Coschütz II,Einzelfund,iDAI gazetteer
932,Dresden-Cotta,Einzelfund,iDAI gazetteer
933,Friedrichstadt (Gewässerfund),Einzelfund,iDAI gazetteer
934,Dresden-Hellerau (suspekt),Unbekannt,iDAI gazetteer
935,Leubnitz,Einzelfund,iDAI gazetteer
936,Dresden-Neugruna,Einzelfund,iDAI gazetteer
937,Dresden-Neuseidnitz,Einzelfund,iDAI gazetteer
938,Dresden-Neustadt,Einzelfund,iDAI gazetteer
939,Striesen (Hortfund?),Schatzfund,iDAI gazetteer
940,Görlitz I,Einzelfund,iDAI gazetteer
941,Görlitz II,Einzelfund,iDAI gazetteer
942,Görlitz III,Einzelfund,iDAI gazetteer
943,Zauschwitz (Lesefund),Einzelfund,iDAI gazetteer
944,Glesien,Einzelfund,iDAI gazetteer
945,Wiedemar,Grabfund,iDAI gazetteer
946,Delmschütz,Einzelfund,iDAI gazetteer
947,Döbeln,Einzelfund,iDAI gazetteer
948,Tronitz,Einzelfund,iDAI gazetteer
949,Eilenburg,Einzelfund,iDAI gazetteer
950,Kaditzsch,Einzelfund,iDAI gazetteer
951,Threna,Einzelfund,iDAI gazetteer
952,Großdalzig (suspekt),Grabfund,iDAI gazetteer
953,Mölkau,Unbekannt,iDAI gazetteer
954,Papitz I,Einzelfund,iDAI gazetteer
955,Papitz II,Einzelfund,iDAI gazetteer
956,Papitz III,Einzelfund,iDAI gazetteer
957,Quesitz,Einzelfund,iDAI gazetteer
958,Räpitz,Einzelfund,iDAI gazetteer
959,Raschwitz,Einzelfund,iDAI gazetteer
960,Schkölen,Einzelfund,iDAI gazetteer
961,Taucha,Einzelfund,iDAI gazetteer
962,Wehlitz,Einzelfund,iDAI gazetteer
963,Wiederitzsch,Einzelfund,iDAI gazetteer
964,Zwenkau I,Einzelfund,iDAI gazetteer
965,Zwenkau II,Einzelfund,iDAI gazetteer
966,Zwenkau III,Einzelfund,iDAI gazetteer
967,Zwenkau IV,Einzelfund,iDAI gazetteer
968,Ockritz,Einzelfund,iDAI gazetteer
969,Oschatz I (suspekt),Unbekannt,iDAI gazetteer
970,Oschatz II (suspekt),Schatzfund,iDAI gazetteer
971,Torgau,Einzelfund,iDAI gazetteer
972,Dehnitz,Einzelfund,iDAI gazetteer
973,Polenz,Einzelfund,iDAI gazetteer
974,Leipzig I,Einzelfund,iDAI gazetteer
975,Leipzig II,Einzelfund,iDAI gazetteer
976,Leipzig III,Einzelfund,iDAI gazetteer
977,Leipzig IV,Einzelfund,iDAI gazetteer
978,Leipzig-Connewitz,Einzelfund,iDAI gazetteer
979,Leipzig-Dölitz,Einzelfund,iDAI gazetteer
980,Leipzig-Knauthain,Einzelfund,iDAI gazetteer
981,Leipzig-Möckern,Einzelfund,iDAI gazetteer
982,Leipzig-Stünz,Einzelfund,iDAI gazetteer
983,Leipzig-Thonberg,Einzelfund,iDAI gazetteer
984,Eibenstock,Unbekannt,iDAI gazetteer
985,Pfaffengrün,Einzelfund,iDAI gazetteer
986,Marienberg,Unbekannt,iDAI gazetteer
987,Rebersreuth,Unbekannt,iDAI gazetteer
988,Gospersgrün,Einzelfund,iDAI gazetteer
989,Plauen (suspekt),Kollektivfund,iDAI gazetteer
990,Barmbek,Einzelfund,iDAI gazetteer
991,Bergedorf,Einzelfund,iDAI gazetteer
992,Blankenese I,Einzelfund,iDAI gazetteer
993,Blankenese II (suspekt),Schatzfund,iDAI gazetteer
994,Eilbeck,Einzelfund,iDAI gazetteer
995,Eppendorf,Einzelfund,iDAI gazetteer
996,Hausbruch,Einzelfund,iDAI gazetteer
997,Kirchsteinbek,Einzelfund,iDAI gazetteer
998,Kirchwerder,Einzelfund,iDAI gazetteer
999,Lokstedt,Einzelfund,iDAI gazetteer
1000,Ochsenwerder,Einzelfund,iDAI gazetteer
1001,Ohlsdorf,Einzelfund,iDAI gazetteer
1002,Rahlstedt,Einzelfund,iDAI gazetteer
1003,Schiffbek,Einzelfund,iDAI gazetteer
1004,Flensburg I (Nördlich),Einzelfund,iDAI gazetteer
1005,Flensburg II (Westlich),Einzelfund,iDAI gazetteer
1006,Flensburg III (Umgebung),Einzelfund,iDAI gazetteer
1007,Düsternbrook,Einzelfund,iDAI gazetteer
1008,Schreventeich,Einzelfund,iDAI gazetteer
1009,Hassee,Schatzfund,iDAI gazetteer
1010,Israelsdorf,Einzelfund,iDAI gazetteer
1011,Neumünster I,Einzelfund,iDAI gazetteer
1012,Neumünster II (Schatzfund),Schatzfund,iDAI gazetteer
,,,
,,,
1015,Albersdorf,Einzelfund,iDAI gazetteer
1016,Dellstedt (Schatzfund),Schatzfund,iDAI gazetteer
1017,Eddelak,Einzelfund,iDAI gazetteer
1018,Epenwöhrden,Einzelfund,iDAI gazetteer
1019,Fedderingen,Einzelfund,iDAI gazetteer
1020,Friedrichskoog,Einzelfund,iDAI gazetteer
1021,Heide I,Einzelfund,iDAI gazetteer
1022,Heide II (Schatzfund),Schatzfund,iDAI gazetteer
1023,Meldorf,Einzelfund,iDAI gazetteer
1024,Nordhastedt,Einzelfund,iDAI gazetteer
1025,Hopen,Grabfund,iDAI gazetteer
1026,Schafstedt,Einzelfund,iDAI gazetteer
1027,Wesselburen,Einzelfund,iDAI gazetteer
1028,"""Dithmarschen""I",Einzelfund,iDAI gazetteer
1029,"""Dithmarschen"" II",Schatzfund,iDAI gazetteer
1030,"""Dithmarschen"" III",Schatzfund,iDAI gazetteer
1031,Grünhof-Tesperhude,Einzelfund,iDAI gazetteer
1032,Giesensdorf,Einzelfund,iDAI gazetteer
1033,Müssen (Kollektivfund),Kollektivfund,iDAI gazetteer
1034,Ratzeburg,Einzelfund,iDAI gazetteer
1035,Sandesneben,Einzelfund,iDAI gazetteer
1036,Husum,Einzelfund,iDAI gazetteer
1037,Nebel,Einzelfund,iDAI gazetteer
1038,Niebüll (Schatzfund),Schatzfund,iDAI gazetteer
1039,Ostenfeld I,Einzelfund,iDAI gazetteer
1040,Ostenfeld II,Einzelfund,iDAI gazetteer
1041,Süderoog (Schatzfund),Schatzfund,iDAI gazetteer
1042,Rantrum,Einzelfund,iDAI gazetteer
1043,Archsum,Einzelfund,iDAI gazetteer
1044,Tating,Einzelfund,iDAI gazetteer
1045,Tinnum I,Einzelfund,iDAI gazetteer
1046,Viöl,Einzelfund,iDAI gazetteer
1047,Wyk auf Föhr,Einzelfund,iDAI gazetteer
1048,Bosau,Einzelfund,iDAI gazetteer
1049,Fehmarn I,Einzelfund,iDAI gazetteer
1050,Fehmarn II (Schatzfund?),Kollektivfund,iDAI gazetteer
1051,Göhl,Einzelfund,iDAI gazetteer
1052,Grube,Einzelfund,iDAI gazetteer
1053,Heiligenhafen (Grabfund),Grabfund,iDAI gazetteer
1054,Malente,Einzelfund,iDAI gazetteer
1055,Kleinwessek,Einzelfund,iDAI gazetteer
1056,Ratekau I (Schatzfund?),Schatzfund,iDAI gazetteer
1057,Malkendorf (Schatzfund?),Schatzfund,iDAI gazetteer
1058,Tornesch,Einzelfund,iDAI gazetteer
1059,Wedel,Einzelfund,iDAI gazetteer
1060,Ascheberg,Einzelfund,iDAI gazetteer
1061,Lindau (bei Kiel),Einzelfund,iDAI gazetteer
1062,Oberkleveez,Einzelfund,iDAI gazetteer
1063,Engelau,Einzelfund,iDAI gazetteer
1064,Kalübbe,Einzelfund,iDAI gazetteer
1065,Kletkamp,Einzelfund,iDAI gazetteer
1066,Bellin,Einzelfund,iDAI gazetteer
1067,Lütjenburg,Einzelfund,iDAI gazetteer
1068,Plön I (Gewässerfund?),Einzelfund,iDAI gazetteer
1069,Plön II,Einzelfund,iDAI gazetteer
1070,Eckernförde,Einzelfund,iDAI gazetteer
1071,Felm,Einzelfund,iDAI gazetteer
,,,
1073,Melsdorf,Einzelfund,iDAI gazetteer
1074,Rendsburg I,Einzelfund,iDAI gazetteer
1075,"Rendsburg II (""Bei"") (suspekt)",Schatzfund,iDAI gazetteer
1076,Todenbüttel,Einzelfund,iDAI gazetteer
1077,Waabs-Langholz,Einzelfund,iDAI gazetteer
1078,Haithabu I (Siedlungsfund),Einzelfund,iDAI gazetteer
1079,Haithabu II,Einzelfund,iDAI gazetteer
1080,Dörpstedt (Schatzfund),Schatzfund,iDAI gazetteer
1081,Kleinwolstrup,Einzelfund,iDAI gazetteer
1082,Glücksburg (Ostsee),Einzelfund,iDAI gazetteer
1083,Handewitt I,Grabfund,iDAI gazetteer
1084,Schwackendorf,Einzelfund,iDAI gazetteer
1085,Kappeln,Einzelfund,iDAI gazetteer
1086,Pommerby,Einzelfund,iDAI gazetteer
1087,Quern,Einzelfund,iDAI gazetteer
1088,Rabenkirchen-Faulück (Hortfund?),Schatzfund,iDAI gazetteer
1089,Satrup,Einzelfund,iDAI gazetteer
1090,Schleswig I,Einzelfund,iDAI gazetteer
1091,Schuby,Einzelfund,iDAI gazetteer
1092,Süderbrarup I,Einzelfund,iDAI gazetteer
1093,Süderbrarup II (Schatzfund?),Schatzfund,iDAI gazetteer
1094,Thorsberg I (Weihefund),Weihefund,iDAI gazetteer
1095,Thorsberg II (Weihefund),Weihefund,iDAI gazetteer
1096,Tarp,Einzelfund,iDAI gazetteer
1097,Landschaft Angeln,Einzelfund,iDAI gazetteer
1098,Bad Bramstedt,Einzelfund,iDAI gazetteer
1099,Boostedt,Einzelfund,iDAI gazetteer
1100,Nahe,Einzelfund,iDAI gazetteer
1101,Stipsdorf,Einzelfund,iDAI gazetteer
1102,Tensfeld (Schatzfund),Schatzfund,iDAI gazetteer
1103,Wakendorf II,Einzelfund,iDAI gazetteer
1104,Glückstadt,Einzelfund,iDAI gazetteer
1105,Hodorf,Einzelfund,iDAI gazetteer
1106,Eversdorf (suspekt),Grabfund,iDAI gazetteer
,,,
1108,Pöschendorf,Einzelfund,iDAI gazetteer
1109,Bad Oldesloe I,Einzelfund,iDAI gazetteer
1110,Bad Oldesloe II,Einzelfund,iDAI gazetteer
1111,Treuholz,Einzelfund,iDAI gazetteer
1112,Todendorf (suspekt),Einzelfund,iDAI gazetteer
1113,Schleswig-Holstein,Einzelfund,iDAI gazetteer
1114,"""Holstein"" I",Einzelfund,iDAI gazetteer
,,,
1116,Alte Neustadt (Hortfund),Schatzfund,iDAI gazetteer
1117,Hastedt,,iDAI gazetteer
1118,Hemelingen,,iDAI gazetteer
1119,Lesumbrok (Hortfund),Schatzfund,iDAI gazetteer
1120,Mahndorf (Fdpl. 1),,iDAI gazetteer
1121,Rekum (Fdpl. 11),,iDAI gazetteer
1122,Schwachhausen,,iDAI gazetteer
1123,Seehausen (Bremen),,iDAI gazetteer
1124,Walle,,iDAI gazetteer
1125,Wesermündung (Hortfund),Schatzfund,iDAI gazetteer
1126,Aus der Weser,,iDAI gazetteer
1127,Im Bremischen,,iDAI gazetteer
1128,Bremerhaven,Einzelfund,iDAI gazetteer
1129,Bremerhaven II (Hortfund),Schatzfund,iDAI gazetteer
1130,Geestemünde,Einzelfund,iDAI gazetteer
1131,Lehe,,iDAI gazetteer
1132,Leherheide,,iDAI gazetteer
1133,Wulstorf,,iDAI gazetteer
1134,Wulstorf II,Grabfund,iDAI gazetteer
1135,Bochum,,iDAI gazetteer
1136,Bochum II,,iDAI gazetteer
